# Lid-driven cavity centreline profiles
# Re = 1000, mesh cells = 6372

# y, Ux_sim
0.000000, -0.045473
0.005025, -0.047868
0.010050, -0.047868
0.015075, -0.047868
0.020101, -0.047868
0.025126, -0.103946
0.030151, -0.103946
0.035176, -0.103946
0.040201, -0.103946
0.045226, -0.147921
0.050251, -0.147921
0.055276, -0.152725
0.060302, -0.152725
0.065327, -0.175060
0.070352, -0.190636
0.075377, -0.190636
0.080402, -0.190636
0.085427, -0.217184
0.090452, -0.217184
0.095477, -0.217184
0.100503, -0.232948
0.105528, -0.246054
0.110553, -0.246054
0.115578, -0.267115
0.120603, -0.267115
0.125628, -0.275273
0.130653, -0.275273
0.135678, -0.289649
0.140704, -0.289649
0.145729, -0.289649
0.150754, -0.314405
0.155779, -0.314198
0.160804, -0.314198
0.165829, -0.323315
0.170854, -0.323315
0.175879, -0.327803
0.180905, -0.335131
0.185930, -0.335131
0.190955, -0.335131
0.195980, -0.341587
0.201005, -0.341233
0.206030, -0.346249
0.211055, -0.346249
0.216080, -0.345834
0.221106, -0.346312
0.226131, -0.346312
0.231156, -0.344057
0.236181, -0.344057
0.241206, -0.342146
0.246231, -0.342146
0.251256, -0.339480
0.256281, -0.339480
0.261307, -0.335777
0.266332, -0.325056
0.271357, -0.325056
0.276382, -0.325056
0.281407, -0.325056
0.286432, -0.313200
0.291457, -0.313200
0.296482, -0.305006
0.301508, -0.294768
0.306533, -0.294768
0.311558, -0.294768
0.316583, -0.282179
0.321608, -0.275027
0.326633, -0.275027
0.331658, -0.253078
0.336683, -0.253078
0.341709, -0.253078
0.346734, -0.251501
0.351759, -0.233180
0.356784, -0.233180
0.361809, -0.226967
0.366834, -0.226967
0.371859, -0.213719
0.376884, -0.213719
0.381910, -0.208300
0.386935, -0.199780
0.391960, -0.199780
0.396985, -0.199780
0.402010, -0.174579
0.407035, -0.174579
0.412060, -0.174579
0.417085, -0.156945
0.422111, -0.156945
0.427136, -0.151869
0.432161, -0.151869
0.437186, -0.151869
0.442211, -0.134435
0.447236, -0.134435
0.452261, -0.129029
0.457286, -0.116533
0.462312, -0.111582
0.467337, -0.111582
0.472362, -0.101523
0.477387, -0.101523
0.482412, -0.101523
0.487437, -0.085934
0.492462, -0.085934
0.497487, -0.085934
0.502513, -0.068312
0.507538, -0.068312
0.512563, -0.068312
0.517588, -0.057642
0.522613, -0.050551
0.527638, -0.050551
0.532663, -0.041115
0.537688, -0.041115
0.542714, -0.041115
0.547739, -0.020034
0.552764, -0.020034
0.557789, -0.017011
0.562814, -0.017011
0.567839, -0.003622
0.572864, -0.002741
0.577889, -0.002741
0.582915, 0.017879
0.587940, 0.017879
0.592965, 0.017879
0.597990, 0.027554
0.603015, 0.034092
0.608040, 0.034092
0.613065, 0.045533
0.618090, 0.045533
0.623116, 0.056025
0.628141, 0.056025
0.633166, 0.063521
0.638191, 0.074031
0.643216, 0.074031
0.648241, 0.092079
0.653266, 0.092079
0.658291, 0.092079
0.663317, 0.108035
0.668342, 0.108035
0.673367, 0.108035
0.678392, 0.118589
0.683417, 0.118589
0.688442, 0.118589
0.693467, 0.139425
0.698492, 0.139425
0.703518, 0.148380
0.708543, 0.148380
0.713568, 0.148380
0.718593, 0.170463
0.723618, 0.170463
0.728643, 0.177694
0.733668, 0.190088
0.738693, 0.190088
0.743719, 0.190088
0.748744, 0.214280
0.753769, 0.214280
0.758794, 0.214280
0.763819, 0.214280
0.768844, 0.233613
0.773869, 0.233613
0.778894, 0.233613
0.783920, 0.250619
0.788945, 0.250619
0.793970, 0.250619
0.798995, 0.266664
0.804020, 0.268267
0.809045, 0.268267
0.814070, 0.274174
0.819095, 0.284791
0.824121, 0.284791
0.829146, 0.284791
0.834171, 0.301911
0.839196, 0.301911
0.844221, 0.301911
0.849246, 0.312004
0.854271, 0.318711
0.859296, 0.318711
0.864322, 0.318711
0.869347, 0.326772
0.874372, 0.334811
0.879397, 0.334811
0.884422, 0.345038
0.889447, 0.345038
0.894472, 0.355646
0.899497, 0.355646
0.904523, 0.367150
0.909548, 0.383830
0.914573, 0.383830
0.919598, 0.383830
0.924623, 0.408755
0.929648, 0.434553
0.934673, 0.434553
0.939698, 0.479931
0.944724, 0.530639
0.949749, 0.530639
0.954774, 0.530639
0.959799, 0.530639
0.964824, 0.658466
0.969849, 0.670925
0.974874, 0.670925
0.979899, 0.806491
0.984925, 0.806491
0.989950, 0.826112
0.994975, 0.826112
1.000000, 0.826112


# y, Ux_ghia
1.000000, 1.000000
0.976600, 0.659280
0.968800, 0.574920
0.960900, 0.511170
0.953100, 0.466040
0.851600, 0.333040
0.734400, 0.187190
0.617200, 0.057020
0.500000, -0.060800
0.453100, -0.106480
0.281300, -0.278050
0.171900, -0.382890
0.101600, -0.297300
0.070300, -0.222200
0.062500, -0.201960
0.054700, -0.181090
0.000000, 0.000000


# x, Uy_sim
0.000000, 0.042896
0.005025, 0.042896
0.010050, 0.090531
0.015075, 0.090531
0.020101, 0.150726
0.025126, 0.150726
0.030151, 0.163890
0.035176, 0.163890
0.040201, 0.215963
0.045226, 0.215963
0.050251, 0.215963
0.055276, 0.226478
0.060302, 0.245284
0.065327, 0.245284
0.070352, 0.259391
0.075377, 0.259391
0.080402, 0.271381
0.085427, 0.282303
0.090452, 0.282303
0.095477, 0.291891
0.100503, 0.291891
0.105528, 0.301679
0.110553, 0.307504
0.115578, 0.307504
0.120603, 0.307504
0.125628, 0.316674
0.130653, 0.319777
0.135678, 0.319777
0.140704, 0.319777
0.145729, 0.324940
0.150754, 0.328925
0.155779, 0.325331
0.160804, 0.325331
0.165829, 0.327423
0.170854, 0.331234
0.175879, 0.331234
0.180905, 0.331234
0.185930, 0.330968
0.190955, 0.332905
0.195980, 0.332905
0.201005, 0.331367
0.206030, 0.331367
0.211055, 0.331367
0.216080, 0.327694
0.221106, 0.327694
0.226131, 0.325426
0.231156, 0.325426
0.236181, 0.315942
0.241206, 0.315942
0.246231, 0.315539
0.251256, 0.310813
0.256281, 0.305846
0.261307, 0.305846
0.266332, 0.294692
0.271357, 0.294692
0.276382, 0.292517
0.281407, 0.292517
0.286432, 0.281196
0.291457, 0.277449
0.296482, 0.277449
0.301508, 0.266870
0.306533, 0.266870
0.311558, 0.257525
0.316583, 0.257525
0.321608, 0.240996
0.326633, 0.240996
0.331658, 0.233799
0.336683, 0.233799
0.341709, 0.233799
0.346734, 0.219706
0.351759, 0.210420
0.356784, 0.210420
0.361809, 0.210420
0.366834, 0.190539
0.371859, 0.185896
0.376884, 0.182160
0.381910, 0.182160
0.386935, 0.182160
0.391960, 0.156564
0.396985, 0.152809
0.402010, 0.152809
0.407035, 0.152809
0.412060, 0.134972
0.417085, 0.134972
0.422111, 0.127564
0.427136, 0.119028
0.432161, 0.119028
0.437186, 0.109733
0.442211, 0.109733
0.447236, 0.099563
0.452261, 0.099563
0.457286, 0.087550
0.462312, 0.075944
0.467337, 0.075944
0.472362, 0.075944
0.477387, 0.068511
0.482412, 0.053326
0.487437, 0.053326
0.492462, 0.049672
0.497487, 0.041579
0.502513, 0.028682
0.507538, 0.028682
0.512563, 0.028682
0.517588, 0.020608
0.522613, 0.006366
0.527638, 0.006366
0.532663, 0.006366
0.537688, -0.014019
0.542714, -0.014019
0.547739, -0.014019
0.552764, -0.023393
0.557789, -0.023393
0.562814, -0.035690
0.567839, -0.035690
0.572864, -0.045693
