i,ok,valid,status,front,dominated,fin_height,fin_spacing,delta_p,heat_removed,objective_hint
1,1,1,done,1,0,0.08,0.08,0.03065243765,0.3645385702,11.89264535
2,1,1,done,0,1,0.08,0.1233333333,0.03051786743,0.3360177695,11.01052589
3,1,1,done,1,0,0.08,0.1666666667,0.03040111656,0.3565941256,11.7296391
4,1,1,done,1,0,0.08,0.21,0.03037574417,0.3463928839,11.40360157
5,1,1,done,0,1,0.08,0.2533333333,0.03083241077,0.2771703075,8.989576247
6,1,1,done,1,0,0.08,0.2966666667,0.03032228618,0.2628132692,8.667330279
7,1,1,done,1,0,0.08,0.34,0.03030309535,0.2475310496,8.168507104
8,1,1,done,0,1,0.1366666667,0.08,0.03652546507,0.3745545909,10.25461524
9,1,1,done,1,0,0.1366666667,0.1233333333,0.03622790665,0.4127868968,11.39416916
10,1,1,done,0,1,0.1366666667,0.1666666667,0.03686208925,0.3122817666,8.471624181
11,1,1,done,0,1,0.1366666667,0.21,0.0357915737,0.3451759412,9.644056002
12,1,1,done,0,1,0.1366666667,0.2533333333,0.03598936426,0.3343159433,9.289298384
13,1,1,done,1,0,0.1366666667,0.2966666667,0.03611358245,0.3825710579,10.59355046
14,1,1,done,0,1,0.1366666667,0.34,0.03589703926,0.2957195044,8.237991503
15,1,1,done,0,1,0.1933333333,0.08,0.04500999557,0.5455771126,12.12124342
16,1,1,done,0,1,0.1933333333,0.1233333333,0.04475477653,0.4931456462,11.01883831
17,1,1,done,0,1,0.1933333333,0.1666666667,0.04475052484,0.2766378621,6.181779166
18,1,1,done,0,1,0.1933333333,0.21,0.04447937786,0.5015469081,11.27594252
19,1,1,done,1,0,0.1933333333,0.2533333333,0.04412004444,0.546334294,12.38290444
20,1,1,done,0,1,0.1933333333,0.2966666667,0.04452284943,0.3774925202,8.478624459
21,1,1,done,0,1,0.1933333333,0.34,0.04488399952,0.4141529269,9.227184105
22,1,1,done,0,1,0.25,0.08,0.05805997371,0.5155717211,8.879985438
23,1,1,done,0,1,0.25,0.1233333333,0.05771817315,0.534057925,9.252855659
24,1,1,done,1,0,0.25,0.1666666667,0.05674986595,0.8590959485,15.13829036
25,1,1,done,0,1,0.25,0.21,0.0563963917,0.4972914777,8.817788918
26,1,1,done,0,1,0.25,0.2533333333,0.05742499882,0.446529769,7.775877721
27,1,1,done,0,1,0.25,0.2966666667,0.05686319359,0.4276546411,7.52076368
28,1,1,done,0,1,0.25,0.34,0.05769384243,0.497960386,8.631083753
29,0,0,diverged,0,1,0.3066666667,0.08,,,
30,0,0,diverged,0,1,0.3066666667,0.1233333333,,,
31,1,1,done,0,1,0.3066666667,0.1666666667,0.07764800348,-0.4232010911,-5.450250775
32,1,1,done,0,1,0.3066666667,0.21,0.07544755102,0.6233050977,8.261435782
33,0,0,diverged,0,1,0.3066666667,0.2533333333,,,
34,0,0,diverged,0,1,0.3066666667,0.2966666667,,,
35,1,1,done,0,1,0.3066666667,0.34,0.07496725003,0.442987009,5.909073747
36,1,1,done,0,1,0.3633333333,0.08,0.1018354531,0.5530893517,5.431206275
37,1,1,done,0,1,0.3633333333,0.1233333333,0.1013619002,0.7271451775,7.173752428
38,0,0,diverged,0,1,0.3633333333,0.1666666667,,,
39,1,1,done,1,0,0.3633333333,0.21,0.1008909777,1.018674274,10.09678265
40,1,1,done,0,1,0.3633333333,0.2533333333,0.1025055421,0.6832962467,6.665944424
41,0,0,diverged,0,1,0.3633333333,0.2966666667,,,
42,0,0,diverged,0,1,0.3633333333,0.34,,,
43,1,1,done,0,1,0.42,0.08,0.1354010983,0.7791316263,5.754248938
44,1,1,done,0,1,0.42,0.1233333333,0.1363257137,-1.535148225,-11.2608853
45,0,0,diverged,0,1,0.42,0.1666666667,,,
46,0,0,diverged,0,1,0.42,0.21,,,
47,1,1,done,0,1,0.42,0.2533333333,0.1359063316,0.7140336465,5.25386594
48,0,0,diverged,0,1,0.42,0.2966666667,,,
49,1,1,done,0,1,0.42,0.34,0.1325523644,0.5296057558,3.995445558
