x_Numerical,y_Numerical,x_Analytical,y_Analytical
0.01246556562,0.0125,0.0025,0.0025
0.03739694776,0.0375,0.0075,0.0075
0.06232890554,0.0625,0.0125,0.0125
0.08726186506,0.0875,0.0175,0.0175
0.1121962466,0.1125,0.0225,0.0225
0.1371324611,0.1375,0.0275,0.0275
0.1620709086,0.1625,0.0325,0.0325
0.1870119748,0.1875,0.0375,0.0375
0.2119560292,0.2125,0.0425,0.0425
0.2369034219,0.2375,0.0475,0.0475
0.2618544828,0.2625,0.0525,0.0525
0.2868095185,0.2875,0.0575,0.0575
0.311768811,0.3125,0.0625,0.0625
0.3367326154,0.3375,0.0675,0.0675
0.3617011585,0.3625,0.0725,0.0725
0.3866746374,0.3875,0.0775,0.0775
0.4116532184,0.4125,0.0825,0.0825
0.4366370354,0.4375,0.0875,0.0875
0.4616261901,0.4625,0.0925,0.0925
0.4866207503,0.4875,0.0975,0.0975
0.5116207498,0.5125,0.1025,0.1025
0.5366261894,0.5375,0.1075,0.1075
0.5616370346,0.5625,0.1125,0.1125
0.5866532175,0.5875,0.1175,0.1175
0.6116746367,0.6125,0.1225,0.1225
0.6367011579,0.6375,0.1275,0.1275
0.6617326151,0.6625,0.1325,0.1325
0.6867688108,0.6875,0.1375,0.1375
0.7118095184,0.7125,0.1425,0.1425
0.7368544825,0.7375,0.1475,0.1475
0.7619034218,0.7625,0.1525,0.1525
0.7869560294,0.7875,0.1575,0.1575
0.8120119759,0.8125,0.1625,0.1625
0.83707091,0.8375,0.1675,0.1675
0.8621324624,0.8625,0.1725,0.1725
0.8871962474,0.8875,0.1775,0.1775
0.9122618655,0.9125,0.1825,0.1825
0.9373289056,0.9375,0.1875,0.1875
0.9623969476,0.9625,0.1925,0.1925
0.987465565,0.9875,0.1975,0.1975
,,0.2025,0.2025
,,0.2075,0.2075
,,0.2125,0.2125
,,0.2175,0.2175
,,0.2225,0.2225
,,0.2275,0.2275
,,0.2325,0.2325
,,0.2375,0.2375
,,0.2425,0.2425
,,0.2475,0.2475
,,0.2525,0.2525
,,0.2575,0.2575
,,0.2625,0.2625
,,0.2675,0.2675
,,0.2725,0.2725
,,0.2775,0.2775
,,0.2825,0.2825
,,0.2875,0.2875
,,0.2925,0.2925
,,0.2975,0.2975
,,0.3025,0.3025
,,0.3075,0.3075
,,0.3125,0.3125
,,0.3175,0.3175
,,0.3225,0.3225
,,0.3275,0.3275
,,0.3325,0.3325
,,0.3375,0.3375
,,0.3425,0.3425
,,0.3475,0.3475
,,0.3525,0.3525
,,0.3575,0.3575
,,0.3625,0.3625
,,0.3675,0.3675
,,0.3725,0.3725
,,0.3775,0.3775
,,0.3825,0.3825
,,0.3875,0.3875
,,0.3925,0.3925
,,0.3975,0.3975
,,0.4025,0.4025
,,0.4075,0.4075
,,0.4125,0.4125
,,0.4175,0.4175
,,0.4225,0.4225
,,0.4275,0.4275
,,0.4325,0.4325
,,0.4375,0.4375
,,0.4425,0.4425
,,0.4475,0.4475
,,0.4525,0.4525
,,0.4575,0.4575
,,0.4625,0.4625
,,0.4675,0.4675
,,0.4725,0.4725
,,0.4775,0.4775
,,0.4825,0.4825
,,0.4875,0.4875
,,0.4925,0.4925
,,0.4975,0.4975
,,0.5025,0.5025
,,0.5075,0.5075
,,0.5125,0.5125
,,0.5175,0.5175
,,0.5225,0.5225
,,0.5275,0.5275
,,0.5325,0.5325
,,0.5375,0.5375
,,0.5425,0.5425
,,0.5475,0.5475
,,0.5525,0.5525
,,0.5575,0.5575
,,0.5625,0.5625
,,0.5675,0.5675
,,0.5725,0.5725
,,0.5775,0.5775
,,0.5825,0.5825
,,0.5875,0.5875
,,0.5925,0.5925
,,0.5975,0.5975
,,0.6025,0.6025
,,0.6075,0.6075
,,0.6125,0.6125
,,0.6175,0.6175
,,0.6225,0.6225
,,0.6275,0.6275
,,0.6325,0.6325
,,0.6375,0.6375
,,0.6425,0.6425
,,0.6475,0.6475
,,0.6525,0.6525
,,0.6575,0.6575
,,0.6625,0.6625
,,0.6675,0.6675
,,0.6725,0.6725
,,0.6775,0.6775
,,0.6825,0.6825
,,0.6875,0.6875
,,0.6925,0.6925
,,0.6975,0.6975
,,0.7025,0.7025
,,0.7075,0.7075
,,0.7125,0.7125
,,0.7175,0.7175
,,0.7225,0.7225
,,0.7275,0.7275
,,0.7325,0.7325
,,0.7375,0.7375
,,0.7425,0.7425
,,0.7475,0.7475
,,0.7525,0.7525
,,0.7575,0.7575
,,0.7625,0.7625
,,0.7675,0.7675
,,0.7725,0.7725
,,0.7775,0.7775
,,0.7825,0.7825
,,0.7875,0.7875
,,0.7925,0.7925
,,0.7975,0.7975
,,0.8025,0.8025
,,0.8075,0.8075
,,0.8125,0.8125
,,0.8175,0.8175
,,0.8225,0.8225
,,0.8275,0.8275
,,0.8325,0.8325
,,0.8375,0.8375
,,0.8425,0.8425
,,0.8475,0.8475
,,0.8525,0.8525
,,0.8575,0.8575
,,0.8625,0.8625
,,0.8675,0.8675
,,0.8725,0.8725
,,0.8775,0.8775
,,0.8825,0.8825
,,0.8875,0.8875
,,0.8925,0.8925
,,0.8975,0.8975
,,0.9025,0.9025
,,0.9075,0.9075
,,0.9125,0.9125
,,0.9175,0.9175
,,0.9225,0.9225
,,0.9275,0.9275
,,0.9325,0.9325
,,0.9375,0.9375
,,0.9425,0.9425
,,0.9475,0.9475
,,0.9525,0.9525
,,0.9575,0.9575
,,0.9625,0.9625
,,0.9675,0.9675
,,0.9725,0.9725
,,0.9775,0.9775
,,0.9825,0.9825
,,0.9875,0.9875
,,0.9925,0.9925
,,0.9975,0.9975
