i,ok,valid,status,front,dominated,fin_height,fin_spacing,delta_p,heat_removed,objective_hint
1,1,1,done,1,0,0.08,0.08,0.0318069851,0.1755017792,5.517711869
2,1,1,done,0,1,0.08,0.1233333333,0.03186620543,0.1626225675,5.103292511
3,1,1,done,1,0,0.08,0.1666666667,0.03149543347,0.172959942,5.491587922
4,1,1,done,1,0,0.08,0.21,0.0319208637,0.1760083254,5.513896087
5,1,1,done,1,0,0.08,0.2533333333,0.03074005035,0.1301106216,4.232609253
6,1,1,done,0,1,0.08,0.2966666667,0.03114206689,0.1144637334,3.675534247
7,1,1,done,0,1,0.08,0.34,0.032088129,0.1027674671,3.202663111
8,1,1,done,1,0,0.1366666667,0.08,0.03883137857,0.2350944558,6.054239238
9,1,1,done,1,0,0.1366666667,0.1233333333,0.03784931125,0.1992409516,5.264057523
10,1,1,done,0,1,0.1366666667,0.1666666667,0.03775147173,0.1177591936,3.119327226
11,1,1,done,1,0,0.1366666667,0.21,0.0371231412,0.1907148283,5.137356974
12,1,1,done,0,1,0.1366666667,0.2533333333,0.03782697463,0.1584342748,4.188394032
13,1,1,done,0,1,0.1366666667,0.2966666667,0.03803949382,0.1758150536,4.621908336
14,1,1,done,0,1,0.1366666667,0.34,0.03738567317,0.1390726027,3.71994379
15,1,1,done,0,1,0.1933333333,0.08,0.04772310385,0.2587283842,5.421449221
16,1,1,done,0,1,0.1933333333,0.1233333333,0.04742385997,0.2928975281,6.176163819
17,1,1,done,0,1,0.1933333333,0.1666666667,0.04778183247,0.2494738777,5.221103184
18,1,1,done,0,1,0.1933333333,0.21,0.0470672818,0.3076448146,6.536277491
19,1,1,done,0,1,0.1933333333,0.2533333333,0.04748230842,0.2335512131,4.918699635
20,1,1,done,1,0,0.1933333333,0.2966666667,0.04655002764,0.3509454584,7.539103116
21,1,1,done,0,1,0.1933333333,0.34,0.0478748596,0.1867974194,3.901785216
22,1,1,done,0,1,0.25,0.08,0.06071891643,0.2811664421,4.630623513
23,1,1,done,1,0,0.25,0.1233333333,0.06015709899,0.359394829,5.974271283
24,1,1,done,0,1,0.25,0.1666666667,0.06237759061,0.2815406887,4.513490918
25,1,1,done,0,1,0.25,0.21,0.0592490855,0.2330551674,3.933481258
26,1,1,done,0,1,0.25,0.2533333333,0.05850087416,0.2462351754,4.209085402
27,1,1,done,0,1,0.25,0.2966666667,0.06020487816,0.2422746429,4.02416964
28,1,1,done,0,1,0.25,0.34,0.06109210163,0.1999983891,3.27371925
29,1,1,done,0,1,0.3066666667,0.08,0.07763539695,0.3386260494,4.361748155
30,1,1,done,0,1,0.3066666667,0.1233333333,0.08395872406,0.3121112807,3.71743716
31,1,1,done,0,1,0.3066666667,0.1666666667,0.080327504,0.01734989111,0.2159894214
32,1,1,done,0,1,0.3066666667,0.21,0.08009499091,0.2695543308,3.365433066
33,1,1,done,0,1,0.3066666667,0.2533333333,0.08153701852,0.1873516615,2.297749721
34,1,1,done,0,1,0.3066666667,0.2966666667,0.08019563918,0.2820248447,3.51671048
35,1,1,done,0,1,0.3066666667,0.34,0.07881071417,0.2024868161,2.569280309
36,1,1,done,1,0,0.3633333333,0.08,0.1068220866,0.3996173078,3.740961447
37,1,1,done,1,0,0.3633333333,0.1233333333,0.1099618509,0.4178663763,3.800103153
38,1,1,done,0,1,0.3633333333,0.1666666667,0.1096834982,0.2832726139,2.582636574
39,1,1,done,0,1,0.3633333333,0.21,0.1096289223,0.3525456612,3.215808875
40,1,1,done,0,1,0.3633333333,0.2533333333,0.1088793382,-0.01579816752,-0.1450979385
41,1,1,done,0,1,0.3633333333,0.2966666667,0.1073421818,0.3006645943,2.800992017
42,0,0,diverged,0,1,0.3633333333,0.34,,,
43,1,1,done,0,1,0.42,0.08,0.1439238678,-0.3728030496,-2.590279536
44,1,1,done,1,0,0.42,0.1233333333,0.1465980026,0.6167356688,4.206985484
45,1,1,done,0,1,0.42,0.1666666667,0.1493816169,0.1032920067,0.691463976
46,1,1,done,0,1,0.42,0.21,0.145958055,0.3486173388,2.388476188
47,1,1,done,0,1,0.42,0.2533333333,0.1436836674,0.3568074158,2.483284442
48,0,0,diverged,0,1,0.42,0.2966666667,,,
49,0,0,diverged,0,1,0.42,0.34,,,
