x_JNLCFD,y_JNLCFD,x_Ghia et al.,y_Ghia et al.
0.003875968992,0.04247048908,1,0
0.01162790698,0.1093728033,0.9688,-0.53858
0.01937984496,0.1553842413,0.9609,-0.55216
0.02713178295,0.1843914575,0.9531,-0.52347
0.03488372093,0.2023948712,0.9453,-0.4859
0.04263565891,0.2143034833,0.9063,-0.4105
0.0503875969,0.2230294639,0.8594,-0.36213
0.05813953488,0.2298989328,0.8047,-0.30448
0.06589147287,0.2354115978,0.5,0.00824
0.07364341085,0.2397177762,0.2344,0.27348
0.08139534884,0.2428764431,0.2266,0.28117
0.08914728682,0.2449108068,0.1563,0.3506
0.09689922481,0.2458651818,0.0938,0.41824
0.1046511628,0.2457876544,0.0781,0.43564
0.1124031008,0.2447363498,0.0703,0.4403
0.1201550388,0.2427846057,0.0625,0.43979
0.1279069767,0.2400112564,0,0
0.1356589147,0.2365023646,,
0.1434108527,0.2323491823,,
0.1511627907,0.2276460633,,
0.1589147287,0.2224890022,,
0.1666666667,0.2169743827,,
0.1744186047,0.2111936559,,
0.1821705426,0.2052335843,,
0.1899224806,0.1991736835,,
0.1976744186,0.1930843915,,
0.2054263566,0.1870255865,,
0.2131782946,0.1810456026,,
0.2209302326,0.1751808617,,
0.2286821705,0.1694560921,,
0.2364341085,0.1638864261,,
0.2441860465,0.1584765159,,
0.2519379845,0.1532231937,,
0.2596899225,0.1481176232,,
0.2674418605,0.1431470898,,
0.2751937984,0.138296689,,
0.2829457364,0.1335507953,,
0.2906976744,0.1288942273,,
0.2984496124,0.1243130878,,
0.3062015504,0.1197952425,,
0.3139534884,0.1153305628,,
0.3217054264,0.1109108827,,
0.3294573643,0.1065298698,,
0.3372093023,0.1021828073,,
0.3449612403,0.09786622615,,
0.3527131783,0.09357760224,,
0.3604651163,0.08931511067,,
0.3682170543,0.0850773342,,
0.3759689922,0.08086307987,,
0.3837209302,0.07667119627,,
0.3914728682,0.07250047038,,
0.3992248062,0.06834963711,,
0.4069767442,0.06421743033,,
0.4147286822,0.06010223519,,
0.4224806202,0.05600226899,,
0.4302325581,0.05191563073,,
0.4379844961,0.04784031052,,
0.4457364341,0.04377423227,,
0.4534883721,0.03971526441,,
0.4612403101,0.03566125704,,
0.4689922481,0.0316100812,,
0.476744186,0.02755964655,,
0.484496124,0.02350794956,,
0.492248062,0.01945311612,,
0.5,0.01539343411,,
0.507751938,0.01132741126,,
0.515503876,0.007253818631,,
0.523255814,0.003171844827,,
0.5310077519,-0.0009186634568,,
0.5387596899,-0.005018154583,,
0.5465116279,-0.009129856591,,
0.5542635659,-0.0132559612,,
0.5620155039,-0.01739840804,,
0.5697674419,-0.02155920874,,
0.5775193798,-0.02574037893,,
0.5852713178,-0.02994349597,,
0.5930232558,-0.03416938475,,
0.6007751938,-0.03841983437,,
0.6085271318,-0.04269746869,,
0.6162790698,-0.04700506863,,
0.6240310078,-0.05134536031,,
0.6317829457,-0.05572105628,,
0.6395348837,-0.06013500946,,
0.6472868217,-0.06459032165,,
0.6550387597,-0.06909027282,,
0.6627906977,-0.07363785015,,
0.6705426357,-0.07823493254,,
0.6782945736,-0.08288313258,,
0.6860465116,-0.08758669718,,
0.6937984496,-0.09235052985,,
0.7015503876,-0.09717942075,,
0.7093023256,-0.1020778876,,
0.7170542636,-0.1070495581,,
0.7248062016,-0.1120960673,,
0.7325581395,-0.1172183631,,
0.7403100775,-0.1224197861,,
0.7480620155,-0.1277032234,,
0.7558139535,-0.1330696565,,
0.7635658915,-0.1385167475,,
0.7713178295,-0.1440384758,,
0.7790697674,-0.1496313437,,
0.7868217054,-0.1552902214,,
0.7945736434,-0.1610058972,,
0.8023255814,-0.1667646937,,
0.8100775194,-0.1725532187,,
0.8178294574,-0.1783569838,,
0.8255813953,-0.1841575927,,
0.8333333333,-0.1899341213,,
0.8410852713,-0.1956679527,,
0.8488372093,-0.2013406777,,
0.8565891473,-0.2069383137,,
0.8643410853,-0.2124617014,,
0.8720930233,-0.2179407752,,
0.8798449612,-0.2234732901,,
0.8875968992,-0.2292932004,,
0.8953488372,-0.2358981231,,
0.9031007752,-0.244222931,,
0.9108527132,-0.2557762906,,
0.9186046512,-0.2724881247,,
0.9263565891,-0.2959612742,,
0.9341085271,-0.3262042603,,
0.9418604651,-0.3605382121,,
0.9496124031,-0.3933096696,,
0.9573643411,-0.4162925377,,
0.9651162791,-0.4193259721,,
0.9728682171,-0.3911810485,,
0.980620155,-0.3215442346,,
0.988372093,-0.2067707116,,
0.996124031,-0.06358001449,,
