y_re100_jnl,u_re100_jnl,y_re100_ghia,u_re100_ghia,y_re400_jnl,u_re400_jnl,y_re400_ghia,u_re400_ghia,y_re1000_jnl,u_re1000_jnl,y_re1000_ghia,u_re1000_ghia
0.003875968992,-0.002934266476,1,1,0.003875968992,-0.006427831905,1,1,0.003875968992,-0.0159319879,1,1
0.01162790698,-0.008595926189,0.9766,0.84123,0.01162790698,-0.01879184918,0.9766,0.75837,0.01162790698,-0.04551027533,0.9766,0.65928
0.01937984496,-0.01406898974,0.9688,0.78871,0.01937984496,-0.03073731342,0.9688,0.68439,0.01937984496,-0.07301897209,0.9688,0.57492
0.02713178295,-0.01936972014,0.9609,0.73722,0.02713178295,-0.04232752535,0.9609,0.61756,0.02713178295,-0.09866097968,0.9609,0.51117
0.03488372093,-0.02451275027,0.9531,0.68717,0.03488372093,-0.05361874728,0.9531,0.55892,0.03488372093,-0.1226682326,0.9531,0.46604
0.04263565891,-0.02951188752,0.8516,0.23151,0.04263565891,-0.06466417158,0.8516,0.29093,0.04263565891,-0.1453156151,0.8516,0.33304
0.0503875969,-0.03438014427,0.7344,0.00332,0.0503875969,-0.07551428045,0.7344,0.16256,0.0503875969,-0.1668972229,0.7344,0.18719
0.05813953488,-0.03912974341,0.6172,-0.13641,0.05813953488,-0.08621668559,0.6172,0.02135,0.05813953488,-0.1876883176,0.6172,0.05702
0.06589147287,-0.04377215381,0.5,-0.20581,0.06589147287,-0.09681583949,0.5,-0.11477,0.06589147287,-0.2079069261,0.5,-0.0608
0.07364341085,-0.04831814515,0.4531,-0.2109,0.07364341085,-0.1073524738,0.4531,-0.17119,0.07364341085,-0.2276844536,0.4531,-0.10648
0.08139534884,-0.0527778162,0.2813,-0.15662,0.08139534884,-0.1178628082,0.2813,-0.32726,0.08139534884,-0.2470510757,0.2813,-0.27805
0.08914728682,-0.05716062449,0.1719,-0.1015,0.08914728682,-0.1283776102,0.1719,-0.24299,0.08914728682,-0.2659370401,0.1719,-0.38289
0.09689922481,-0.06147540818,0.1016,-0.06434,0.09689922481,-0.1389212048,0.1016,-0.14612,0.09689922481,-0.2841870879,0.1016,-0.2973
0.1046511628,-0.06573041703,0.0703,-0.04775,0.1046511628,-0.1495104977,0.0703,-0.10338,0.1046511628,-0.3015831156,0.0703,-0.2222
0.1124031008,-0.06993331861,0.0625,-0.04192,0.1124031008,-0.1601540801,0.0625,-0.09266,0.1124031008,-0.3178700762,0.0625,-0.20196
0.1201550388,-0.07409121511,0.0547,-0.03717,0.1201550388,-0.1708515007,0.0547,-0.08186,0.1201550388,-0.3327813263,0.0547,-0.18109
0.1279069767,-0.07821064598,0,0,0.1279069767,-0.1815927274,0,0,0.1279069767,-0.3460611637,0,0
0.1356589147,-0.08229759827,,,0.1356589147,-0.1923578706,,,0.1356589147,-0.3574837704,,
0.1434108527,-0.08635751095,,,0.1434108527,-0.2031171581,,,0.1434108527,-0.3668682993,,
0.1511627907,-0.09039526927,,,0.1511627907,-0.213831209,,,0.1511627907,-0.374090105,,
0.1589147287,-0.09441520624,,,0.1589147287,-0.2244515728,,,0.1589147287,-0.3790879142,,
0.1666666667,-0.09842109003,,,0.1666666667,-0.2349215495,,,0.1666666667,-0.3818667443,,
0.1744186047,-0.1024161266,,,0.1744186047,-0.2451772468,,,0.1744186047,-0.3824963971,,
0.1821705426,-0.1064029396,,,0.1821705426,-0.2551488597,,,0.1821705426,-0.3811057877,,
0.1899224806,-0.1103835601,,,0.1899224806,-0.2647621354,,,0.1899224806,-0.3778736041,,
0.1976744186,-0.1143594227,,,0.1976744186,-0.2739399776,,,0.1976744186,-0.3730163214,,
0.2054263566,-0.1183313478,,,0.2054263566,-0.2826041788,,,0.2054263566,-0.366774699,,
0.2131782946,-0.1222995209,,,0.2131782946,-0.290677192,,,0.2131782946,-0.3594000505,,
0.2209302326,-0.1262634859,,,0.2209302326,-0.2980839659,,,0.2209302326,-0.3511414043,,
0.2286821705,-0.1302221186,,,0.2286821705,-0.3047537122,,,0.2286821705,-0.3422344805,,
0.2364341085,-0.1341736207,,,0.2364341085,-0.3106216443,,,0.2364341085,-0.3328930853,,
0.2441860465,-0.1381155139,,,0.2441860465,-0.3156305426,,,0.2441860465,-0.3233031759,,
0.2519379845,-0.1420446164,,,0.2519379845,-0.3197321954,,,0.2519379845,-0.3136195906,,
0.2596899225,-0.145957039,,,0.2596899225,-0.3228885763,,,0.2596899225,-0.3039651492,,
0.2674418605,-0.1498481724,,,0.2674418605,-0.3250727755,,,0.2674418605,-0.2944317549,,
0.2751937984,-0.1537126758,,,0.2751937984,-0.3262696166,,,0.2751937984,-0.2850829664,,
0.2829457364,-0.1575444811,,,0.2829457364,-0.3264759408,,,0.2829457364,-0.2759575803,,
0.2906976744,-0.1613367975,,,0.2906976744,-0.3257005643,,,0.2906976744,-0.2670737334,,
0.2984496124,-0.1650821096,,,0.2984496124,-0.3239638859,,,0.2984496124,-0.258433161,,
0.3062015504,-0.1687721827,,,0.3062015504,-0.3212971792,,,0.3062015504,-0.2500253128,,
0.3139534884,-0.1723980871,,,0.3139534884,-0.3177416011,,,0.3139534884,-0.2418310697,,
0.3217054264,-0.1759502046,,,0.3217054264,-0.3133469501,,,0.3217054264,-0.2338260015,,
0.3294573643,-0.1794182614,,,0.3294573643,-0.308170245,,,0.3294573643,-0.225983023,,
0.3372093023,-0.1827913602,,,0.3372093023,-0.3022741735,,,0.3372093023,-0.218274506,,
0.3449612403,-0.1860580045,,,0.3449612403,-0.2957254681,,,0.3449612403,-0.210673825,,
