x_Numerical,y_Numerical,x_Analytical,y_Analytical
0.07493963316,0.0125,0.0149625,0.0025
0.2173219512,0.0375,0.0446625,0.0075
0.3522051993,0.0625,0.0740625,0.0125
0.4795874663,0.0875,0.1031625,0.0175
0.5994671964,0.1125,0.1319625,0.0225
0.7118431802,0.1375,0.1604625,0.0275
0.8167145886,0.1625,0.1886625,0.0325
0.914081048,0.1875,0.2165625,0.0375
1.003942733,0.2125,0.2441625,0.0425
1.086300453,0.2375,0.2714625,0.0475
1.161155715,0.2625,0.2984625,0.0525
1.228510725,0.2875,0.3251625,0.0575
1.288368342,0.3125,0.3515625,0.0625
1.340731949,0.3375,0.3776625,0.0675
1.385605284,0.3625,0.4034625,0.0725
1.422992218,0.3875,0.4289625,0.0775
1.452896498,0.4125,0.4541625,0.0825
1.475321482,0.4375,0.4790625,0.0875
1.490269898,0.4625,0.5036625,0.0925
1.497743639,0.4875,0.5279625,0.0975
1.49774364,0.5125,0.5519625,0.1025
1.490269898,0.5375,0.5756625,0.1075
1.475321483,0.5625,0.5990625,0.1125
1.452896498,0.5875,0.6221625,0.1175
1.422992218,0.6125,0.6449625,0.1225
1.385605285,0.6375,0.6674625,0.1275
1.34073195,0.6625,0.6896625,0.1325
1.288368342,0.6875,0.7115625,0.1375
1.228510725,0.7125,0.7331625,0.1425
1.161155715,0.7375,0.7544625,0.1475
1.086300454,0.7625,0.7754625,0.1525
1.003942733,0.7875,0.7961625,0.1575
0.9140810479,0.8125,0.8165625,0.1625
0.8167145885,0.8375,0.8366625,0.1675
0.7118431801,0.8625,0.8564625,0.1725
0.5994671962,0.8875,0.8759625,0.1775
0.4795874661,0.9125,0.8951625,0.1825
0.3522051991,0.9375,0.9140625,0.1875
0.2173219511,0.9625,0.9326625,0.1925
0.07493963317,0.9875,0.9509625,0.1975
,,0.9689625,0.2025
,,0.9866625,0.2075
,,1.0040625,0.2125
,,1.0211625,0.2175
,,1.0379625,0.2225
,,1.0544625,0.2275
,,1.0706625,0.2325
,,1.0865625,0.2375
,,1.1021625,0.2425
,,1.1174625,0.2475
,,1.1324625,0.2525
,,1.1471625,0.2575
,,1.1615625,0.2625
,,1.1756625,0.2675
,,1.1894625,0.2725
,,1.2029625,0.2775
,,1.2161625,0.2825
,,1.2290625,0.2875
,,1.2416625,0.2925
,,1.2539625,0.2975
,,1.2659625,0.3025
,,1.2776625,0.3075
,,1.2890625,0.3125
,,1.3001625,0.3175
,,1.3109625,0.3225
,,1.3214625,0.3275
,,1.3316625,0.3325
,,1.3415625,0.3375
,,1.3511625,0.3425
,,1.3604625,0.3475
,,1.3694625,0.3525
,,1.3781625,0.3575
,,1.3865625,0.3625
,,1.3946625,0.3675
,,1.4024625,0.3725
,,1.4099625,0.3775
,,1.4171625,0.3825
,,1.4240625,0.3875
,,1.4306625,0.3925
,,1.4369625,0.3975
,,1.4429625,0.4025
,,1.4486625,0.4075
,,1.4540625,0.4125
,,1.4591625,0.4175
,,1.4639625,0.4225
,,1.4684625,0.4275
,,1.4726625,0.4325
,,1.4765625,0.4375
,,1.4801625,0.4425
,,1.4834625,0.4475
,,1.4864625,0.4525
,,1.4891625,0.4575
,,1.4915625,0.4625
,,1.4936625,0.4675
,,1.4954625,0.4725
,,1.4969625,0.4775
,,1.4981625,0.4825
,,1.4990625,0.4875
